Run #,Blockchain Length,1 Blocks Flipped,2 Blocks Flipped,3 Blocks Flipped,4 Blocks Flipped,5 Blocks Flipped,6 Blocks Flipped,7 Blocks Flipped,8 Blocks Flipped,9 Blocks Flipped,10 Blocks Flipped,11 Blocks Flipped,12 Blocks Flipped,13 Blocks Flipped,14 Blocks Flipped,15 Blocks Flipped,16 Blocks Flipped,17 Blocks Flipped,18 Blocks Flipped,19 Blocks Flipped,20 Blocks Flipped,21 Blocks Flipped,22 Blocks Flipped,23 Blocks Flipped,24 Blocks Flipped,25 Blocks Flipped,26 Blocks Flipped,27 Blocks Flipped,28 Blocks Flipped,29 Blocks Flipped,30 Blocks Flipped,Total Flipped Blocks,Total Switches
81,51,10,4,3,4,3,3,4,0,2,2,1,2,1,0,0,1,1,1,2,0,0,0,0,0,0,0,0,0,0,0,279,44
82,54,11,8,7,7,6,2,0,1,1,2,1,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,216,50
83,54,8,3,6,4,5,1,2,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,126,33
84,53,9,7,7,2,2,3,2,2,3,1,0,0,2,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,236,44
85,51,6,9,4,2,3,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88,27
86,54,11,10,10,5,4,1,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,141,45
87,53,14,7,6,2,4,0,2,3,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,134,40
88,54,8,9,7,9,4,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,134,42
89,52,11,6,5,5,2,1,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,113,35
90,52,7,5,8,3,6,2,0,0,0,2,3,2,1,0,0,0,0,0,1,1,2,0,0,0,0,2,0,0,0,0,318,45
91,52,10,5,5,2,3,3,3,1,3,0,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,185,39
92,52,8,10,6,4,2,3,3,3,3,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,189,44
93,50,9,6,7,3,4,3,3,2,4,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,190,43
94,52,9,9,5,3,5,4,1,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,162,40
95,51,11,8,2,5,3,1,2,1,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,145,37
96,53,10,6,7,1,4,2,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,2,1,0,0,0,0,0,0,1,222,38
97,52,7,4,4,8,2,3,4,3,1,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,183,39
98,50,9,7,3,2,3,2,3,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,137,33
99,54,8,8,6,4,3,2,2,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,136,37
100,53,12,10,7,4,2,0,0,0,1,2,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,153,41
